	STI	Seats	Volume	Oc_Density	T60_125	T60_250	T60_500	T60_1000	T60_2000	T60_4000	T60_8000
Cartuxa_Monastery_Church	0.40	240	4475	0.05	1.67	1.53	1.15	1.05	0.72	0.39	0.19
Cartuxa_Monastery_Church	0.37	240	4475	0.05	1.69	1.58	1.16	1.08	0.75	0.42	0.19
Cartuxa_Monastery_Church	0.49	240	4475	0.05	1.67	1.53	1.15	1.05	0.72	0.39	0.19
Cartuxa_Monastery_Church	0.37	240	4475	0.05	1.74	1.48	1.22	1.09	0.75	0.40	0.18
Coliseu_Micaelense	0.49	1300	6000	0.21	3.59	1.66	1.17	1.13	0.88	0.48	0.21
Coliseu_Micaelense	0.47	1300	6000	0.21	3.64	1.53	1.11	1.11	0.87	0.46	0.20
Coliseu_Micaelense	0.44	1300	6000	0.21	1.02	1.12	1.09	1.11	0.88	0.50	0.23
Coliseu_Micaelense	0.46	1300	6000	0.21	1.01	1.11	1.13	1.14	0.89	0.49	0.22
Covent_of_Christ_Church 	0.16		550		2.68	2.63	2.46	2.01	1.39	0.68	0.34
Covent_of_Christ_Church 	0.22		550		2.66	2.66	2.46	2.01	1.37	0.63	0.25
Covent_of_Christ_Church 	0.24		550		2.72	2.69	2.44	2.05	1.37	0.65	0.26
Covent_of_Christ_Church 	0.18		550		2.62	2.65	2.50	2.00	1.38	0.68	0.28
Covent_of_Christ_Cistern	0.31		767		4.60	3.17	2.51	1.88	1.21	0.62	0.27
Covent_of_Christ_Cistern	0.36		767		4.74	3.19	2.57	1.90	1.23	0.60	0.25
Covent_of_Christ_Cistern	0.28		767		4.60	3.15	2.57	1.87	1.22	0.61	0.28
Covent_of_Christ_Cistern	0.27		767		4.60	3.15	2.57	1.87	1.22	0.61	0.28
Dom_Joao_III 	0.57		5000		1.91	1.76	1.61	1.30	0.91	0.43	8.48
Dom_Joao_III 	0.49		5000		2.03	1.84	1.65	1.35	0.94	0.44	0.23
Dom_Joao_III 	0.57		5000		1.91	1.76	1.61	1.30	0.91	0.43	8.48
Dom_Joao_III 	0.36		5000		1.98	1.83	1.67	1.37	0.93	0.48	0.20
ESML_Great_Hall 	0.51	484	4527	0.10	4.65	4.37	3.13	1.74	0.87	0.67	0.42
ESML_Great_Hall 	0.46	484	4527	0.10	2.58	2.13	1.91	1.19	0.90	0.74	0.45
ESML_Great_Hall 	0.44	484	4527	0.10	2.66	2.15	2.00	1.29	0.90	0.74	0.43
ESML_Great_Hall 	0.52	484	4527	0.10	3.56	3.13	2.45	1.44	0.87	0.68	0.40
ESML_Organ_Room	0.53		650		0.74	0.84	0.79	0.69	0.66	0.41	0.20
ESML_Organ_Room	0.53		650		0.74	0.84	0.79	0.69	0.66	0.41	0.20
ESML_Organ_Room	0.51		650		0.73	0.78	0.75	0.70	0.64	0.38	0.19
ESML_Organ_Room	0.54		650		0.75	0.76	0.74	0.69	0.63	0.38	0.19
ESML_Small_Hall 	0.60	56	396	0.14	0.48	0.46	0.47	0.38	0.36	0.36	0.28
ESML_Small_Hall 	0.68	56	396	0.14	0.46	0.38	0.42	0.38	0.35	0.34	0.28
ESML_Small_Hall 	0.60	56	396	0.14	0.50	0.52	0.50	0.53	0.52	0.48	0.36
ESML_Small_Hall 	0.68	56	396	0.14	0.56	0.54	0.53	0.48	0.50	0.47	0.33
Gulbenkian_Grand_Hall	0.56	1203	7000	0.17	0.80	0.87	0.87	0.85	0.71	0.43	0.63
Gulbenkian_Grand_Hall	0.61	1203	7000	0.17	0.84	0.86	0.82	0.79	0.72	0.45	0.18
Gulbenkian_Grand_Hall	0.96	1203	7000	0.17	0.68	0.79	0.75	0.73	0.61	0.34	0.13
Gulbenkian_Grand_Hall	0.48	1203	7000	0.17	0.74	0.72	0.78	0.78	0.64	0.34	0.13
Lourinha_Misericordia_Church	0.45	50	1850	0.03	0.68	0.77	0.79	0.79	0.68	0.46	0.22
Lourinha_Misericordia_Church	0.50	50	1850	0.03	0.53	0.71	0.84	0.82	0.69	0.45	0.22
Lourinha_Misericordia_Church	0.45	50	1850	0.03	0.62	0.76	0.84	0.78	0.69	0.45	0.22
Lourinha_Misericordia_Church	0.49	50	1850	0.03	0.60	0.74	0.84	0.79	0.67	0.45	0.22
St_Dominic_Convent_Church 	0.43		6582		1.39	1.63	1.62	1.50	0.94	0.49	0.24
St_Dominic_Convent_Church 	0.50		6582		1.29	2.20	1.66	1.38	0.91	0.46	0.19
St_Dominic_Convent_Church 	0.50		6582		1.26	1.49	1.62	1.47	0.95	0.47	0.24
St_Dominic_Convent_Church 	0.60		6582		1.28	1.77	1.62	1.36	0.86	0.45	0.16
St_George_Cinema	0.49	830	3600	0.02	0.62	0.71	0.64	0.58	0.49	0.28	0.14
St_George_Cinema	0.51	830	3600	0.02	0.70	0.70	0.69	0.58	0.51	0.29	0.14
St_George_Cinema	0.55	830	3600	0.02	0.68	0.76	0.75	0.57	0.52	0.29	0.16
St_George_Cinema	0.49	830	3600	0.02	0.64	0.60	0.60	0.49	0.47	0.27	0.14
